,PSRJ,F0,F1,RAJD,DECJD,DIST,gamma,n
2932,J1939+2134,641.928222127829,-4.330987e-14,5.147162118694286,0.37669599101009377,3.5,1.6372970188068222e-22,3
2958,J1944+0907,192.8565208431179,-6.44814e-16,5.1668529983595075,0.15922752830416703,1.218,8.989415923032404e-23,3
2974,J1946+3417,315.443563681749,-3.148e-16,5.17672860861276,0.5984282973562637,6.94,1.0029278984589769e-23,3
3028,J1955+2908,163.0479129097612,-7.9062e-16,5.216198175505532,0.5086831946878192,6.304,1.8239883676109836e-22,3
3081,J2010-1323,191.4509120380344,-1.76854e-16,5.28296043353649,-0.2338551489064484,2.4390066586091717,2.5202438762597838e-23,3
3091,J2017+0603,345.2781364654948,-9.5291e-16,5.31181534159616,0.1056194366044403,1.399,2.3149661627096025e-23,3
3130,J2033+1734,168.0966779772235,-3.1496e-16,5.381978021386347,0.30687965527134115,1.74,6.630984451031274e-23,3
3145,J2043+1711,420.189443214863,-9.25931e-16,5.425129094925024,0.300045903900515,1.3888787917080003,1.2480822687322145e-23,3
3234,J2145-0750,62.29588783082522,-1.156186e-16,5.697806140762895,-0.13680712370266496,0.7142805214498288,4.78244040815304e-22,3
3261,J2214+3000,320.5922923290326,-1.51379e-15,5.8234984835674615,0.5237840041179602,0.6,4.5941630172483865e-23,3
3275,J2229+2643,335.8162133708968,-1.7183e-16,5.889823233447431,0.4665733375827187,1.8,4.5372635817132975e-24,3
3278,J2234+0611,279.5965821510426,-9.392e-16,5.909617440455426,0.10805860066743093,0.9708667281842333,4.296971857300998e-23,3
3279,J2234+0944,275.7078326240928,-1.52788e-15,5.9113467733992495,0.17002530995025925,1.587,7.290241804727034e-23,3
3299,J2302+4442,192.5919636477142,-5.1439e-16,6.03352883609545,0.7802693020540892,0.863,7.200754980493867e-23,3
3311,J2317+1439,290.25460815391,-2.0477e-16,6.096234025495883,0.25584237154523837,1.6666545500496004,8.373922939240102e-24,3
3315,J2322+2057,207.96816335831227,-4.178455630932531e-16,6.11900328691079,0.36565945772468267,1.011,4.645422570451267e-23,3
